ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600030.SH,20211231,26.46,26.69,26.39,26.41,26.37,0.04,0.1517,670511.36,1778955.655
600030.SH,20211230,25.85,26.62,25.85,26.37,25.88,0.49,1.8934,781346.17,2057978.148
600030.SH,20211229,26.13,26.13,25.83,25.88,26.05,-0.17,-0.6526,485993.17,1262206.536
600030.SH,20211228,26.1,26.28,25.84,26.05,26.0,0.05,0.1923,549142.12,1430073.41
600030.SH,20211227,25.81,26.05,25.64,26.0,25.69,0.31,1.2067,451895.83,1171037.662
600030.SH,20211224,25.92,26.2,25.68,25.69,25.93,-0.24,-0.9256,499960.91,1293655.211
600030.SH,20211223,25.91,26.06,25.72,25.93,25.88,0.05,0.1932,448028.78,1158008.777
600030.SH,20211222,26.12,26.23,25.87,25.88,26.11,-0.23,-0.8809,398666.8,1035741.773
600030.SH,20211221,25.83,26.28,25.83,26.11,25.88,0.23,0.8887,530788.49,1385647.973
600030.SH,20211220,26.3,26.5,25.81,25.88,26.29,-0.41,-1.5595,749118.93,1952963.391
600030.SH,20211217,26.75,26.82,26.27,26.29,26.65,-0.36,-1.3508,665803.24,1764408.204
600030.SH,20211216,26.45,26.78,26.39,26.65,26.4,0.25,0.947,590210.7,1569049.267
600030.SH,20211215,26.47,26.76,26.31,26.4,26.32,0.08,0.304,678402.63,1798785.313
600030.SH,20211214,26.5,26.64,26.21,26.32,26.67,-0.35,-1.3123,910136.87,2401177.775
600030.SH,20211213,27.0,27.27,26.66,26.67,26.44,0.23,0.8699,1548178.58,4166017.71
600030.SH,20211210,26.57,26.63,26.25,26.44,26.88,-0.44,-1.6369,1213975.97,3207991.786
600030.SH,20211209,26.4,27.24,26.35,26.88,26.49,0.39,1.4723,1895881.87,5090108.069
600030.SH,20211208,26.35,26.62,26.06,26.49,26.15,0.34,1.3002,1418086.8,3737147.807
600030.SH,20211207,26.2,26.5,26.01,26.15,25.91,0.24,0.9263,1836993.77,4821063.398
600030.SH,20211206,25.01,26.5,25.01,25.91,24.78,1.13,4.5601,3164170.33,8215428.684
600030.SH,20211203,24.5,24.9,24.45,24.78,24.4,0.38,1.5574,1045718.87,2584044.237
600030.SH,20211202,24.19,24.55,24.1,24.4,24.23,0.17,0.7016,739732.21,1803837.004
600030.SH,20211201,23.7,24.29,23.65,24.23,23.77,0.46,1.9352,842458.97,2034164.816
600030.SH,20211130,23.95,23.99,23.72,23.77,23.8,-0.03,-0.1261,618799.33,1476947.411
600030.SH,20211129,23.7,23.81,23.62,23.8,23.92,-0.12,-0.5017,632218.01,1499468.699
600030.SH,20211126,24.03,24.08,23.91,23.92,24.09,-0.17,-0.7057,470738.22,1128056.855
600030.SH,20211125,24.15,24.24,24.02,24.09,24.19,-0.1,-0.4134,451105.08,1086929.612
600030.SH,20211124,24.2,24.33,24.05,24.19,24.21,-0.02,-0.0826,516818.49,1248099.643
600030.SH,20211123,24.28,24.5,24.2,24.21,24.29,-0.08,-0.3294,646039.9,1572556.787
600030.SH,20211122,24.28,24.52,24.24,24.29,24.3,-0.01,-0.0412,696913.26,1699313.815
600030.SH,20211119,24.01,24.44,23.93,24.3,24.08,0.22,0.9136,796636.96,1928681.033
600030.SH,20211118,24.0,24.16,23.7,24.08,24.04,0.04,0.1664,785011.6,1878985.477
600030.SH,20211117,23.91,24.14,23.86,24.04,24.01,0.03,0.1249,678137.35,1628413.109
600030.SH,20211116,25.06,25.15,23.95,24.01,25.22,-1.21,-4.7978,2281490.64,5565688.292
600030.SH,20211115,25.38,25.5,25.05,25.22,25.34,-0.12,-0.4736,642136.73,1619936.939
600030.SH,20211112,25.69,25.69,25.08,25.34,25.75,-0.41,-1.5922,1088599.45,2756837.665
600030.SH,20211111,24.9,25.93,24.9,25.75,25.01,0.74,2.9588,1455579.39,3719322.568
600030.SH,20211110,25.49,25.57,24.77,25.01,25.58,-0.57,-2.2283,1057430.48,2649688.785
600030.SH,20211109,25.53,25.63,25.25,25.58,25.46,0.12,0.4713,563575.29,1435080.522
600030.SH,20211108,25.27,25.68,25.02,25.46,25.36,0.1,0.3943,568211.93,1441756.439
600030.SH,20211105,25.3,25.67,25.23,25.36,25.44,-0.08,-0.3145,545238.18,1386543.786
600030.SH,20211104,25.6,25.76,25.3,25.44,25.39,0.05,0.1969,630367.12,1605802.62
600030.SH,20211103,25.5,25.66,25.25,25.39,25.53,-0.14,-0.5484,570295.4,1449182.234
600030.SH,20211102,25.9,26.09,25.25,25.53,25.98,-0.45,-1.7321,898836.88,2300876.823
600030.SH,20211101,25.8,26.1,25.73,25.98,25.88,0.1,0.3864,979593.91,2540040.719
600030.SH,20211029,25.0,26.14,24.81,25.88,24.75,1.13,4.5657,1641830.24,4208839.254
600030.SH,20211028,24.61,25.06,24.58,24.75,24.67,0.08,0.3243,648388.31,1610473.942
600030.SH,20211027,25.09,25.26,24.56,24.67,25.26,-0.59,-2.3357,802147.94,1994918.674
600030.SH,20211026,25.65,25.71,25.25,25.26,25.65,-0.39,-1.5205,609002.89,1550328.524
600030.SH,20211025,25.46,25.73,25.18,25.65,25.46,0.19,0.7463,808744.65,2058553.023
600030.SH,20211022,25.2,25.57,25.12,25.46,25.16,0.3,1.1924,692221.32,1754717.788
600030.SH,20211021,25.0,25.39,24.88,25.16,25.0,0.16,0.64,632570.28,1591270.026
600030.SH,20211020,25.18,25.23,24.98,25.0,25.05,-0.05,-0.1996,503287.26,1261270.363
600030.SH,20211019,24.9,25.22,24.86,25.05,24.98,0.07,0.2802,511627.48,1281873.537
600030.SH,20211018,24.96,25.21,24.8,24.98,24.96,0.02,0.0801,486797.76,1214138.617
600030.SH,20211015,24.7,25.12,24.6,24.96,24.76,0.2,0.8078,620778.88,1547360.032
600030.SH,20211014,24.8,24.85,24.41,24.76,24.71,0.05,0.2023,493163.57,1215383.76
600030.SH,20211013,24.84,25.06,24.68,24.71,24.86,-0.15,-0.6034,600363.26,1491566.055
600030.SH,20211012,25.49,25.65,24.55,24.86,25.66,-0.8,-3.1177,1125690.24,2814644.34
600030.SH,20211011,25.85,26.14,25.65,25.66,25.75,-0.09,-0.3495,589345.08,1525344.367
600030.SH,20211008,25.4,25.85,25.4,25.75,25.28,0.47,1.8592,751305.7,1928003.141
600030.SH,20210930,25.65,25.77,25.07,25.28,25.61,-0.33,-1.2886,834290.37,2112289.889
600030.SH,20210929,25.61,25.8,25.16,25.61,25.86,-0.25,-0.9667,944263.35,2408742.004
600030.SH,20210928,25.6,26.06,25.51,25.86,25.65,0.21,0.8187,711046.82,1836158.848
600030.SH,20210927,26.02,26.25,25.38,25.65,26.04,-0.39,-1.4977,952229.37,2458101.849
600030.SH,20210924,26.26,26.45,26.01,26.04,26.2,-0.16,-0.6107,816946.57,2140439.502
600030.SH,20210923,25.82,26.29,25.76,26.2,25.69,0.51,1.9852,1040007.18,2711282.463
600030.SH,20210922,25.51,25.97,25.3,25.69,25.95,-0.26,-1.0019,895727.23,2290076.453
600030.SH,20210917,25.5,26.1,25.5,25.95,25.48,0.47,1.8446,1077622.95,2781670.928
600030.SH,20210916,26.28,26.33,25.31,25.48,26.24,-0.76,-2.8963,1347734.68,3487369.505
600030.SH,20210915,26.42,26.64,26.01,26.24,26.48,-0.24,-0.9063,1089052.16,2857648.545
600030.SH,20210914,27.25,27.41,26.32,26.48,27.19,-0.71,-2.6113,1602296.28,4290873.196
600030.SH,20210913,27.25,27.59,27.06,27.19,27.27,-0.08,-0.2934,1215741.66,3316633.77
600030.SH,20210910,26.81,27.98,26.81,27.27,26.73,0.54,2.0202,2152491.92,5887666.065
600030.SH,20210909,26.61,26.87,26.36,26.73,26.9,-0.17,-0.632,1199152.71,3193017.867
600030.SH,20210908,27.0,27.63,26.86,26.9,27.15,-0.25,-0.9208,1566586.62,4251631.335
600030.SH,20210907,26.82,27.38,26.3,27.15,26.82,0.33,1.2304,2096081.91,5642029.407
600030.SH,20210906,26.62,27.39,26.62,26.82,26.59,0.23,0.865,1800825.62,4861495.805
600030.SH,20210903,28.1,28.23,26.48,26.59,27.09,-0.5,-1.8457,2825811.9,7711825.432
600030.SH,20210902,26.8,27.2,26.55,27.09,26.89,0.2,0.7438,2604356.55,7004440.992
600030.SH,20210901,25.7,27.6,25.56,26.89,25.68,1.21,4.7118,4375223.04,11646798.443
600030.SH,20210831,24.25,26.13,24.19,25.68,24.34,1.34,5.5053,3062855.09,7787736.124
600030.SH,20210830,25.15,25.28,24.28,24.34,24.73,-0.39,-1.577,1386131.43,3418390.264
600030.SH,20210827,24.65,25.18,24.6,24.73,24.58,0.15,0.6103,1038329.97,2578768.899
600030.SH,20210826,24.81,25.0,24.56,24.58,24.92,-0.34,-1.3644,1044624.04,2584003.71
